Deposit,Deposit style,Label,Co59,Ni60,Cu65,Zn66,As75,Mo95,Ag107,Sb121,Te125,Au197,Tl205,Pb208
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,130.9,2356.1,1155.51,25.62,882.86,245.31,3.49,67.31,1.37,0.007,10.46,66.43
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,191.02,3256.87,893.55,84.97,2702.04,119.67,26.96,149.93,4.493,0.015,31.59,120.19
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,20.33,531.38,371.55,45.48,6147.5,182.56,418.15,257.29,6.216,0.409,507.29,68.33
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,174.94,3275.92,2077.43,124.66,4461.73,145.08,219.95,197.84,8.231,0.115,256.36,137.61
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,204.13,3957.97,658.63,13.15,784.58,169.48,3.16,38.22,1.67,0.007,6.92,42.69
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,261.28,4571.91,54.39,12.55,853.16,89.02,2.44,23.78,3.126,0.007,5.51,24.55
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,171.76,2825.93,918.67,199.45,820.16,151.78,4.24,50.77,1.836,0.01,8.77,55.76
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,23.46,1208.14,356.84,27.48,1872.39,47.91,23.14,45.22,0.435,0.037,15.62,77.1
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,101.51,3488.04,100.29,0.34,637.94,46.76,1.45,23.5,1.553,0.007,3.44,23.15
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,43.05,3031.21,47.3,224.54,464.62,8.68,3.7,11.7,0.515,0.01,2.8,19.22
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,267.65,3397.19,565.52,6.58,870.28,204.79,3.92,65.55,2.12,0.007,11.32,70.57
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,188.73,4245.02,283.29,1564.14,4897.92,224.73,283.14,178.33,4.811,0.37,401.26,51.81
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,391.79,4701.85,259.55,15.5,1039.65,88.44,3.35,30.34,2.101,0.007,4.62,29.92
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,167.5,3137.87,1060.82,30.14,2267.65,290.99,26.05,130.74,3.734,0.045,32.22,143.49
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,11.41,564.26,81.55,48.27,5544.32,165.46,308.94,203.89,2.866,0.549,463.99,33.24
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,119.52,2608.59,1221.93,76.42,1490.43,449.8,22.83,117.37,2.393,0.017,29,141.89
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,134.69,2099.51,957.38,21.53,908.04,53.81,3.27,67.52,1.195,0.007,7.32,70.42
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,149.93,2841.54,907.31,6.46,1493.64,11.06,3.61,73.93,1.404,0.007,7.36,78.96
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,116.86,1841.38,183.36,55.33,7240.23,193.13,423.46,265.14,4.546,0.66,649.26,62.72
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,161.1,2684.22,986.58,55.37,774.85,57.73,3.78,47.4,1.794,0.007,6.06,49.02
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,129.51,2724.42,1066.55,59.33,1512.65,853.66,23.93,121.91,2.515,0.022,34.42,193.75
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,223.37,4228,766.88,53.34,2249.6,696.41,22.44,150.02,3.614,0.034,31.48,156.17
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,99.48,2618.59,888.72,43.3,1459.68,481.57,28.22,108.16,3.057,0.014,31.52,140.65
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,146.51,2634.72,515.58,17.77,927.54,36.33,8.58,36.39,2.139,0.012,8.66,51.22
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,166.92,4694.95,174.24,0.84,901.51,13.71,1.6,25.46,2.025,0.005,3.27,24.54
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,181.05,3931.19,832.07,42.5,2151.17,470.73,25.78,178.61,3.581,0.022,37.34,181.15
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,46.93,2234.35,522.9,112.82,7428.92,283.47,382.25,304.42,6.65,0.703,629.7,111.96
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,206.04,3432.98,1172,24.13,2106.14,329.05,27.81,154.38,4.897,0.007,31.94,164.44
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,100.25,493.55,698.96,221.15,985.92,69.03,1.14,48.41,1.838,0.007,1.94,829.8
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,120.68,162.15,1221.04,178.25,160.84,4.56,3.8,14.3,0.13,0.007,36.9,1567.13
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,54.07,329.71,350.23,102.38,319.94,69.99,1.06,27.82,0.751,0.007,2,825.09
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,99.79,568.16,879.4,176.5,497.21,50.93,1.8,36.29,1.401,0.04,2.38,1277.04
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,166.65,183.55,1211.28,210.22,167.81,7.51,4.14,15.99,0.13,0.007,30.37,2286.69
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,127.14,159.46,1181.11,150.2,143.16,5.5,3.79,17.08,0.13,0.007,21.5,2013.46
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,118.75,177.23,936.79,160.71,160.83,4.85,4.52,15.59,0.13,0.007,33.06,2180.73
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,113.09,147.5,1697.09,262.45,123.27,5.84,2.45,10.62,0.13,0.007,22.55,1360.75
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,122.13,159.68,1314.08,156.81,146.09,5.81,2.13,12.47,0.13,0.007,29.01,1521.72
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,51.21,444.66,793.72,159.02,602.93,60.71,1.3,43.66,1.129,0.007,2.34,978.39
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,140.21,132.55,1139,157.05,139.87,8.13,3.06,14.48,0.13,0.007,16.69,1812.16
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,146.79,164.97,981.6,247.8,155.01,6.98,2.56,11.68,0.13,0.007,35.45,1645.79
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,196.34,192.09,1114.04,232.1,177.62,8.11,4.33,18.15,0.13,0.007,19.59,1951.46
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,104.98,401.35,592.93,144.46,225.78,112.69,1.44,37.44,1.652,0.007,2.49,1484.52
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,131.56,479.5,686.05,161.49,277.25,91.23,1.66,35.13,1.699,0.03,2.64,1591.13
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,106.06,357.99,437.92,150.61,285.7,103.13,1.48,32.91,0.702,0.029,2.04,1168.33
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,165.29,649.06,859.76,168.95,295.95,156.97,1.87,37.07,1.085,0.128,3,1848.75
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,207.86,555.52,716.41,250.02,347.86,99.72,1.35,43.36,1.912,0.007,7.35,1463.59
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,60.17,323.49,549.61,176.82,530.26,69.7,0.67,32.26,1.234,0.007,1.77,774.99
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,56.65,470.31,644.88,196.81,609.05,62.47,0.97,39.14,1.515,0.007,2.28,915.64
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,106.37,524.02,803.09,147.11,620.06,99.9,1.58,41.01,2.155,0.007,2.47,1095.94
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,66.6,442,643.72,187.53,771.66,68.88,1.16,45.73,1.762,0.038,1.93,959.57
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,40.58,408.21,274.32,18.48,449.96,349.42,102.51,120.25,0.516,0.007,4.8,598.42
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,18.61,350.66,219.29,3.24,784.24,67.87,39.72,67.35,0.13,0.007,0.97,406.61
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,55.73,627.79,418.51,114.56,404.29,297.25,123.4,137.04,1.219,0.007,3.37,1046.63
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,49.32,454.38,338.29,60.71,686.75,308.5,31.9,116.1,1.454,0.007,7.94,269.93
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,23.68,322.63,140.33,2067,142.2,39.97,14.62,39.29,0.438,0.007,0.73,174.88
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,22.72,258.49,122.92,28.98,569.63,248.59,164.58,183.81,0.288,0.007,6.44,917.46
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,34.81,473.02,355.29,44.2,555.27,81.97,62.28,117.99,1.046,0.007,3.44,660.31
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,72.25,666.25,318.37,22.14,554.63,400.05,221.99,223.91,0.983,0.051,9.13,1051.94
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,40.8,503.28,285.82,28.74,475.22,186.86,112.27,132.11,0.747,0.051,3.21,952.26
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,40.45,496.73,323.15,78.05,582.67,213.01,133.98,170.48,0.976,0.007,2.49,1284.69
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,72.55,571.41,239.42,30.46,470.37,538.12,124.83,139.22,1.032,0.007,9.29,700.68
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,26.88,310.64,113.64,16.73,521.91,274.73,146.55,154.06,0.435,0.007,5.98,798.83
