Sample,Sample No,Co59,Ni60,Cu65,Zn66,As75,Mo95,Ag107,Sb121,Te125,Au197,Tl205,Pb208
20220120_JLW-23.5-A1 - 1,JLW23.5,0.209902446,1.215579016,31.78425689,2.772428373,5.396436927,1.938551814,0.011202385,0.345638007,0.011483625,0.151676251,0.131483235,3.918975858
20220120_JLW-23.5-A1 - 2,JLW23.5,0.176598097,3.836547627,19.37394763,4.684250063,16.91647935,1.141675992,0.019661772,0.290552433,0.04794651,0.723473859,0.058862042,3.513438321
20220120_JLW-23.5-A1 - 3,JLW23.5,0.008176164,0.078174605,15.407801,3.601137282,0.946925748,0.371331212,0.015488708,0.170681101,0.024260446,1.096834062,0.126320954,0.330328549
20220120_JLW-23.5-A1 - 4,JLW23.5,0.155804189,1.680165826,32.60431027,3.57859758,32.7763351,1.74903535,0.035262434,0.39601686,0.043656103,0.376204938,0.085876123,4.56479059
20220120_JLW-23.5-A1 - 5,JLW23.5,0.080191779,0.784701026,45.24228483,3.637606863,17.40212193,2.720066007,0.051031288,0.476429035,0.03980038,0.711183147,0.12052927,7.24040847
20220120_JLW-23.5-A1 - 6,JLW23.5,0.1548645,0.372784989,10.53373808,2.603887442,16.34544321,1.960032953,0.00899266,0.085570706,0.025402894,0.016550416,0.032134628,1.501462483
20220120_JLW-23.5-A1 - 7,JLW23.5,0.01715278,0.15771854,26.5572952,3.501300749,2.611737533,1.841028627,0.015176349,0.334578604,0.02197643,0.145946352,0.151111429,2.163774613
20220120_JLW-23.5-A1 - 8,JLW23.5,0.035554387,0.437012723,18.26977774,2.738417397,12.66895272,1.599312397,0.021336672,0.246153659,0.020354787,4.549558536,0.092603008,2.127316506
20220120_JLW-23.5-A1 - 9,JLW23.5,0.062895673,0.501516503,19.39880422,4.391262691,11.86854244,0.933978637,0.017382784,0.241831938,0.14781979,5.14204947,0.123085718,1.313192793
20220120_JLW-23.5-A1 - 10,JLW23.5,0.064512943,0.194951534,17.19835771,2.825701804,5.898869278,0.899684176,0.073289657,0.154513205,0.040659809,1.204531195,0.134944556,0.834261335
20220120_JLW-23.5-A1 - 12,JLW23.5,0.005730658,0.122260253,17.16715789,2.569192476,4.016643242,2.393603532,0.023611897,0.231184416,0.023650435,1.533672045,0.11347965,1.364438009
20220120_JLW-23.5-A1 - 14,JLW23.5,0.016923966,0.160586489,23.38438888,2.787813644,88.67562223,7.869302719,0.010368225,0.269377229,0.036378333,0.797464626,0.059192379,4.455932407
20220120_JLW-23.5-A1 - 15,JLW23.5,0.051325576,0.402481287,2.907493935,19.46264806,191.3187401,0.062510838,0.062725169,0.269385162,0.372228548,0.159393954,0.051366266,0.260098324
20220120_JLW-23.5-A1 - 16,JLW23.5,0.025401896,0.220330059,0.948792531,10.93186403,373.0338946,3.840159546,0.07073382,1.245909226,0.091178132,0.027875372,0.024323538,0.342459311
20220120_JLW-23.5-A1 - 17,JLW23.5,0.026176855,0.555352425,3.02073896,9.677034503,319.6605394,1.565844858,0.107724418,0.984921388,0.119982884,0.025376491,0.019264992,1.229865271
20220120_JLW-23.5-A1 - 18,JLW23.5,1.204460866,3.177544535,10.97378569,10.87056023,338.6938065,0.529176777,0.058500439,0.936392786,0.187196349,0.049707241,0.027704118,1.80982526
20220120_JLW-23.5-A1 - 19,JLW23.5,0.024717319,0.180957573,8.115967089,10.10553876,341.3111503,0.278677118,0.035414064,1.06156608,0.111931048,0.076003215,0.019847568,0.174802691
20220120_JLW-23.5-A2 - 2,JLW23.5,7.161326285,33.81293308,29.489682,2.549983397,130.4568043,0.674936524,0.254597124,1.147541798,0.016539623,0.665990565,0.11308657,3.847718107
20220120_JLW-23.5-A2 - 3,JLW23.5,2.492413002,11.52717706,13.86305081,7.140458656,103.1063322,0.467932658,0.103998365,0.93190902,0.107901781,0.468796061,0.043494273,2.34549074
20220120_JLW-15.1-A1 - 1,JLW15.1,0.03087824,0.101948305,10.59186734,5.088109839,181.7021487,25.80727564,0.019523033,1.533542678,0.057471976,0.091167138,0.117519619,1.345712311
20220120_JLW-15.1-A1 - 3,JLW15.1,0.026865591,0.282234821,19.4610417,2.998772232,299.0333116,3.000271345,0.01308428,1.148871893,0.013269303,0.133070077,0.229311486,2.11128359
20220120_JLW-15.1-A1 - 4,JLW15.1,0.073716264,1.56654943,63.01752231,2.834817049,1027.515615,26.878436,0.112383404,3.641645571,0.062285725,0.359238331,0.606003244,7.990269726
20220120_JLW-15.1-A1 - 5,JLW15.1,0.009578583,0.292790214,2.832551177,3.363565299,64.71390399,9.381883152,0.014184283,1.268971888,0.052150706,0.057065908,0.070002166,0.51793291
20220120_JLW-15.1-A1 - 6,JLW15.1,0.015785628,0.217848091,11.84005974,3.629627188,530.4663644,12.37130622,0.016024372,1.128386176,0.052326324,0.023342073,0.235157057,2.550283078
20220120_JLW-15.1-A1 - 7,JLW15.1,0.019994667,0.39087028,30.54686733,2.829398535,1409.163336,38.04031206,0.076086335,1.684350893,0.036798236,0.036303701,0.406019868,8.958333193
20220120_JLW-15.1-A1 - 8,JLW15.1,0.035135994,0.466075668,20.46727963,2.761858043,129.6211465,6.225100473,0.010808108,1.328330152,0.013507231,1.027726223,0.613706751,3.526521386
20220120_JLW-15.1-A1 - 9,JLW15.1,0.112776417,4.997195986,41.35302502,3.712903261,376.6613811,17.89009548,0.051523712,1.639503825,0.031101838,1.301180332,0.565421469,8.662477374
20220120_JLW-15.1-A1 - 10,JLW15.1,0.055324339,0.638711568,22.79758346,2.696936947,634.4704651,12.68356368,0.053221992,1.679299719,0.033438336,0.712016277,0.378506377,4.676746049
20220120_JLW-15.1-A1 - 11,JLW15.1,0.011876468,0.076759081,6.505594027,3.399388078,213.8061784,1.625944231,0.011750544,0.607765698,0.045154507,0.159895816,0.395788865,1.926245906
20220120_JLW-15.1-A1 - 12,JLW15.1,1.046395035,4.311252358,10.81415875,5.81006116,6971.672823,8.816008102,0.069984859,5.2159122,0.067215862,0.143028266,0.067133272,5.134670383
20220120_JLW-15.1-A1 - 14,JLW15.1,0.035072863,0.491089909,30.52782271,2.740467112,40.56563049,4.89381744,0.013583065,1.502785336,0.02824816,0.043506215,0.395026416,4.883448805
20220120_JLW-15.1-A2 - 1,JLW15.1,0.037939919,1.097862032,62.74701146,2.760885582,725.8830495,6.410248957,0.197221827,2.563489683,0.064569397,6.974931676,0.744870224,8.536990352
20220120_JLW-15.1-A2 - 2,JLW15.1,0.036922837,0.758073934,86.08132687,7.233202755,1006.144123,12.49488146,0.133819017,4.27785961,0.014287245,11.36619379,0.632902308,7.500559097
20220120_JLW-15.1-A2 - 3,JLW15.1,2.19221572,9.223165122,38.20848774,2.470317615,66.99785846,1.774385375,0.092486924,1.48242778,0.015643041,3.588496682,0.78332197,5.885748514
20220120_JLW-15.1-A2 - 4,JLW15.1,0.059442138,2.048832126,27.19825376,3.425280775,816.6257774,9.214509011,0.09415342,2.371560532,0.222721634,10.64929139,0.305569314,5.05356652
20220120_JLW-15.1-A2 - 5,JLW15.1,0.008524718,0.498767116,18.76940936,3.311946239,6.156304191,0.068953,0.034248834,0.745640332,0.023444909,4.862372935,0.73638049,0.747098685
20220120_JLW-15.1-A2 - 6,JLW15.1,0.007406202,0.379732021,36.90170841,2.680895758,972.033703,22.67162182,0.052360929,2.048308172,0.03525459,0.254009182,0.454136005,9.074665846
20220120_JLW-15.1-A2 - 7,JLW15.1,0.020822303,0.201087041,4.223328989,3.221239171,795.7414968,13.2214416,0.015098298,2.228429764,0.038537749,0.274605956,0.105409388,1.299793511
20220120_JLW-15.1-A2 - 8,JLW15.1,0.056728711,0.501628931,23.34770701,2.457922755,412.1738476,9.45543951,0.021715288,1.79781753,0.011912425,1.147862869,0.310613324,5.17448889
20220120_JLW-15.1-A2 - 9,JLW15.1,0.011041427,0.136300719,40.05663458,5.257612889,73.50756458,1.552044342,0.025530017,1.513099347,0.079420169,0.101574464,1.235641446,6.144379836
20220120_JLW-15.1-A2 - 10,JLW15.1,0.029259188,1.761641364,23.63921607,4.669118582,1814.745489,24.39290752,0.078163068,4.485229908,0.054997574,0.466385128,0.327314539,5.678545039
20220120_Hy31-A1 - 1,Hy31,3.707332398,12.83597554,0.1804358,2.732807378,0.3599844,0.003170852,0.008874357,0.043040288,0.019361191,0.012170555,0.007023594,0.009334792
20220120_Hy31-A1 - 2,Hy31,2.199826713,9.85629484,0.246074557,4.485221996,0.677760999,0.007488972,0.018360152,0.071669321,0.045764607,0.015601727,0.010306111,0.142714539
20220120_Hy31-A1 - 4,Hy31,2.564162881,13.48786366,2.791491326,7.99725201,4.575188248,0.017117545,0.040829735,0.131265365,0.412619452,0.034917653,0.021232093,6.470231502
20220120_Hy31-A1 - 5,Hy31,2.871432851,15.27019069,3.691428728,9.955369359,4.619663205,0.230257099,0.0386438,0.155507146,0.38504468,0.03430726,0.146010134,10.31303976
20220120_Hy31-A1 - 6,Hy31,2.140142945,8.901943633,1.991711887,6.740415831,2.130960781,0.412506843,0.020605366,0.114049425,0.081266508,0.020912042,0.04748794,8.451958832
20220120_Hy31-A1 - 8,Hy31,3.096953718,24.62372949,2.873184811,105.3693361,1.456510595,0.893328604,0.054572649,0.095468658,0.063153657,0.021318849,0.06803534,8.727301751
20220120_Hy31-A1 - 9,Hy31,1.546193481,14.05989291,4.371424646,7.895833804,3.395306093,1.208165112,0.025309368,0.128831018,0.287519457,0.024724578,0.129897375,17.33569388
20220120_Hy31-A1 - 10,Hy31,0.84530923,9.836731862,2.517536497,6.568499749,2.726623409,0.186251943,0.026330014,0.092529425,0.082900325,0.020174065,0.065379497,8.217807003
20220120_Hy31-A1 - 11,Hy31,2.387960568,13.13969938,8.16318574,6.978860366,3.480824926,0.379153114,0.03103451,0.112600215,0.295326603,0.017453476,0.08803973,8.835633549
20220120_Hy31-A2 - 1,Hy31,3.262443054,14.46695011,3.745806692,2.71390097,5.336306698,1.283956861,0.038202134,0.165823546,0.041035812,0.010923317,0.109178613,17.07011988
20220120_Hy31-A2 - 2,Hy31,2.874832897,14.33144411,4.538218264,6.720650902,5.341053459,0.248405556,0.060809885,0.104436039,0.212026438,0.02458579,0.07581394,10.36964649
20220120_Hy31-A2 - 3,Hy31,3.861551812,21.4339886,8.819475776,7.136038584,5.242122923,2.248993853,0.032695541,0.316756697,0.119531605,0.025988211,0.188576517,27.51720118
20220120_Hy31-A2 - 4,Hy31,5.549874211,19.36537148,5.720235505,5.83328942,12.22161463,0.535472608,0.016099319,0.19203263,0.04640128,0.02031059,0.234990894,14.05116521
20220120_Hy31-A2 - 5,Hy31,2.86286169,13.97270335,2.874657716,6.179772106,5.223114365,0.143143259,0.054172083,0.07850998,0.030570557,0.017770169,0.157069386,6.921876689
20220120_Hy31-A2 - 6,Hy31,2.848485764,14.28629879,5.158527218,6.202759648,6.941326578,2.375775197,0.026624085,0.222446927,0.07911084,0.019678192,0.125096646,22.50415253
20220120_Hy31-A2 - 7,Hy31,3.962816206,16.57678225,6.573553432,5.587361306,8.810137984,2.117668229,0.095351235,0.293338882,0.060392964,0.015391059,0.163153372,21.14234883
20220120_Hy31-A3 - 1,Hy31,0.482025224,3.709710512,0.052569298,2.793756615,0.896361253,0.007163873,0.014620748,0.043497289,0.044380093,0.009426364,0.008143726,0.028914311
20220120_Hy31-A3 - 2,Hy31,0.99657426,35.6033825,0.337715265,2.608589123,0.443608628,0.002138849,0.010368099,0.042327328,0.031599762,0.003616491,0.005971892,0.011105757
20220120_Hy31-A3 - 3,Hy31,0.756053061,17.47610843,0.440711727,2.542024285,0.612491248,0.002081057,0.009504358,0.04184385,0.012912418,0.005956134,0.006830537,0.098419238
20220120_Hy31-A3 - 4,Hy31,1.007451517,6.142025781,0.930427668,6.103558182,0.800845197,0.015093388,0.026093764,0.101270471,0.093702175,0.010003496,0.015386741,1.970243877
20220120_Hy31-A3 - 5,Hy31,4.543318724,27.96913124,0.986619179,6.658684571,3.094598458,0.009986157,0.034832985,0.099107256,0.062045409,0.003294844,0.027089705,2.76404702
20220120_Hy31-A3 - 6,Hy31,1.405507476,26.77488178,0.378277621,9.022278906,0.307442921,0.01247513,0.049303079,0.142765043,0.077573581,0.004118415,0.018817963,2.011274854
20220120_Hy31-A3 - 7,Hy31,3.202156395,22.66603068,3.464130185,11.01570764,0.362516951,0.053809466,0.046339128,0.169892754,0.095439805,0.413136207,0.025037085,4.131168401
20220120_Hy31-A3 - 8,Hy31,0.965158455,17.65790774,0.399825327,7.335635109,1.134348201,0.017059732,0.008384772,0.113613748,0.106222772,0.005637132,0.018765045,1.777277129
20220120_Hy31-A3 - 10,Hy31,0.512445933,14.24733971,1.928614242,6.116697277,1.320530066,0.005960526,0.014160127,0.095631596,0.037169253,0.001971628,0.034732834,4.15736605
20220120_Hy31-A3 - 11,Hy31,1.812071274,17.16186284,3.442048713,6.051758264,1.719817114,0.013059634,0.021269247,0.096312562,0.079511251,0.019643796,0.014144258,4.831598642
20220120_Hy31-A3 - 12,Hy31,5.816504896,28.95329964,4.694210586,5.934280935,9.42087637,0.619145319,0.052316978,0.185433724,0.233030526,0.013553101,0.1186697,13.54030584
20220120_Hy31-A3 - 13,Hy31,5.185685652,27.88097274,4.833557766,5.494400854,7.734496682,0.360779676,0.025074703,0.266376704,0.07172865,0.003802374,0.165055176,14.1398044
20220120_Hy31-A3 - 14,Hy31,6.903557419,29.61731099,2.11929582,10.07429474,7.918033824,0.146050478,0.010137911,0.161866021,0.128853614,0.032387705,0.066254315,4.756289464
20220120_Hy59-A1 - 1,Hy59,180.9906863,458.0035629,431.7122191,31.00500601,188.1388281,30.50618943,2.775782169,23.67613161,2.727797125,0.033109571,7.777843194,427.844731
20220120_Hy59-A1 - 2,Hy59,140.3992902,401.2591677,401.9842709,37.68333435,144.7472975,26.54716151,2.434801444,20.95652632,2.717139597,0.043967074,7.278595195,381.5578837
20220120_Hy59-A1 - 3,Hy59,198.9086502,468.7462468,419.6505771,40.20016319,159.7236789,24.20406543,2.456334101,22.04479883,2.105695626,0.04132705,7.808907485,399.4115226
20220120_Hy59-A1 - 4,Hy59,188.4533306,485.524782,425.4860571,49.71770245,182.7925989,35.85519578,2.686877721,24.17675712,3.144779889,0.052981568,8.169337037,447.1970322
20220120_Hy59-A2 - 1,Hy59,313.7777217,406.7627944,139.3091414,57.33571364,106.9495173,29.43397417,1.215716074,14.43474435,1.004569588,0.09925184,2.9531519,213.5027024
20220120_Hy59-A3 - 1,Hy59,106.8459857,366.617655,368.5053437,43.72134324,145.063975,35.30969789,2.041211222,14.71295703,1.852105224,0.039279723,7.341577439,282.9826271
20220120_Hy59-A3 - 2,Hy59,151.9065337,487.504554,397.9723104,49.48293272,189.2599822,41.66311734,2.438828538,20.41673121,2.449561045,0.0289458,8.373425993,378.0308065
20220120_Hy59-A4 - 1,Hy59,87.24247546,270.9418218,342.0299576,41.0956592,94.88364292,26.64909034,0.914301041,7.16017861,1.068417013,0.011316505,4.617334688,137.0968952
20220120_Hy59-A4 - 2,Hy59,48.21734891,137.0884574,136.5811279,33.89839237,67.09179482,18.41026302,0.841438478,6.094080081,1.421369775,0.007274291,1.84102231,114.8432708
20220120_Hy59-A5 - 1,Hy59,88.88976368,220.4597968,200.4257559,15.69930344,96.41733758,35.885123,0.81477621,9.206421473,0.810694464,0.017761277,2.416238053,138.6613618
20220120_Hy59-A5 - 2,Hy59,66.37280392,193.2895968,145.3668555,16.3754872,93.16592231,37.68828959,0.854517851,9.089217325,0.947317179,0.012174271,1.799558579,142.3107054
20220120_Hy59-A5 - 3,Hy59,61.74386406,182.9287891,133.7894605,10.75628181,97.51142699,35.28873386,0.766795744,9.315368489,0.848898649,0.010154195,1.918634206,136.9018631
